id,route_id,run_id,heading,predictable,longitude,latitude,seconds_since_report,time,time_adjusted
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,33,2021-11-22 11:36:26,2021-11-22 11:35:53
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,227,2021-11-22 11:36:26,2021-11-22 11:32:39
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,33,2021-11-22 11:36:26,2021-11-22 11:35:53
4114,2,2_1109_0,90.0,True,-118.307068,34.098049,61,2021-11-22 11:36:26,2021-11-22 11:35:25
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,89,2021-11-22 11:36:26,2021-11-22 11:34:57
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,61,2021-11-22 11:36:26,2021-11-22 11:35:25
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,145,2021-11-22 11:36:26,2021-11-22 11:34:01
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,116,2021-11-22 11:36:26,2021-11-22 11:34:30
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,217,2021-11-22 11:36:36,2021-11-22 11:32:59
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,245,2021-11-22 11:36:36,2021-11-22 11:32:31
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,79,2021-11-22 11:36:36,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,79,2021-11-22 11:36:36,2021-11-22 11:35:17
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,107,2021-11-22 11:36:36,2021-11-22 11:34:49
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,79,2021-11-22 11:36:36,2021-11-22 11:35:17
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,51,2021-11-22 11:36:36,2021-11-22 11:35:45
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,245,2021-11-22 11:36:36,2021-11-22 11:32:31
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,51,2021-11-22 11:36:36,2021-11-22 11:35:45
4114,2,2_1109_0,90.0,True,-118.307068,34.098049,79,2021-11-22 11:36:36,2021-11-22 11:35:17
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,107,2021-11-22 11:36:36,2021-11-22 11:34:49
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,79,2021-11-22 11:36:36,2021-11-22 11:35:17
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,163,2021-11-22 11:36:36,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,134,2021-11-22 11:36:36,2021-11-22 11:34:22
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,220,2021-11-22 11:36:46,2021-11-22 11:33:06
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,248,2021-11-22 11:36:46,2021-11-22 11:32:38
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,82,2021-11-22 11:36:46,2021-11-22 11:35:24
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,82,2021-11-22 11:36:46,2021-11-22 11:35:24
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,110,2021-11-22 11:36:46,2021-11-22 11:34:56
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,82,2021-11-22 11:36:46,2021-11-22 11:35:24
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,54,2021-11-22 11:36:46,2021-11-22 11:35:52
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,248,2021-11-22 11:36:46,2021-11-22 11:32:38
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,54,2021-11-22 11:36:46,2021-11-22 11:35:52
4114,2,2_1109_0,90.0,True,-118.307068,34.098049,82,2021-11-22 11:36:46,2021-11-22 11:35:24
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,110,2021-11-22 11:36:46,2021-11-22 11:34:56
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,82,2021-11-22 11:36:46,2021-11-22 11:35:24
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,166,2021-11-22 11:36:46,2021-11-22 11:34:00
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,137,2021-11-22 11:36:46,2021-11-22 11:34:29
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,237,2021-11-22 11:36:56,2021-11-22 11:32:59
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,265,2021-11-22 11:36:56,2021-11-22 11:32:31
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,100,2021-11-22 11:36:56,2021-11-22 11:35:16
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,100,2021-11-22 11:36:56,2021-11-22 11:35:16
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,127,2021-11-22 11:36:56,2021-11-22 11:34:49
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,100,2021-11-22 11:36:56,2021-11-22 11:35:16
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,72,2021-11-22 11:36:56,2021-11-22 11:35:44
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,265,2021-11-22 11:36:56,2021-11-22 11:32:31
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,72,2021-11-22 11:36:56,2021-11-22 11:35:44
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,15,2021-11-22 11:36:56,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,127,2021-11-22 11:36:56,2021-11-22 11:34:49
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,100,2021-11-22 11:36:56,2021-11-22 11:35:16
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,183,2021-11-22 11:36:56,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,155,2021-11-22 11:36:56,2021-11-22 11:34:21
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,241,2021-11-22 11:37:06,2021-11-22 11:33:05
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,268,2021-11-22 11:37:06,2021-11-22 11:32:38
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,103,2021-11-22 11:37:06,2021-11-22 11:35:23
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,103,2021-11-22 11:37:06,2021-11-22 11:35:23
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,131,2021-11-22 11:37:06,2021-11-22 11:34:55
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,103,2021-11-22 11:37:06,2021-11-22 11:35:23
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,75,2021-11-22 11:37:06,2021-11-22 11:35:51
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,268,2021-11-22 11:37:06,2021-11-22 11:32:38
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,75,2021-11-22 11:37:06,2021-11-22 11:35:51
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,18,2021-11-22 11:37:06,2021-11-22 11:36:48
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,131,2021-11-22 11:37:06,2021-11-22 11:34:55
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,103,2021-11-22 11:37:06,2021-11-22 11:35:23
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,186,2021-11-22 11:37:06,2021-11-22 11:34:00
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,158,2021-11-22 11:37:06,2021-11-22 11:34:28
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,8,2021-11-22 11:37:17,2021-11-22 11:37:09
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,258,2021-11-22 11:37:17,2021-11-22 11:32:59
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,286,2021-11-22 11:37:17,2021-11-22 11:32:31
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,120,2021-11-22 11:37:17,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,120,2021-11-22 11:37:17,2021-11-22 11:35:17
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,148,2021-11-22 11:37:17,2021-11-22 11:34:49
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,120,2021-11-22 11:37:17,2021-11-22 11:35:17
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,8,2021-11-22 11:37:17,2021-11-22 11:37:09
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,286,2021-11-22 11:37:17,2021-11-22 11:32:31
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,92,2021-11-22 11:37:17,2021-11-22 11:35:45
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,36,2021-11-22 11:37:17,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,148,2021-11-22 11:37:17,2021-11-22 11:34:49
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,120,2021-11-22 11:37:17,2021-11-22 11:35:17
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,203,2021-11-22 11:37:17,2021-11-22 11:33:54
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,8,2021-11-22 11:37:17,2021-11-22 11:37:09
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,11,2021-11-22 11:37:27,2021-11-22 11:37:16
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,261,2021-11-22 11:37:27,2021-11-22 11:33:06
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,289,2021-11-22 11:37:27,2021-11-22 11:32:38
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,123,2021-11-22 11:37:27,2021-11-22 11:35:24
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,124,2021-11-22 11:37:27,2021-11-22 11:35:23
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,151,2021-11-22 11:37:27,2021-11-22 11:34:56
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,124,2021-11-22 11:37:27,2021-11-22 11:35:23
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,11,2021-11-22 11:37:27,2021-11-22 11:37:16
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,289,2021-11-22 11:37:27,2021-11-22 11:32:38
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,96,2021-11-22 11:37:27,2021-11-22 11:35:51
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,39,2021-11-22 11:37:27,2021-11-22 11:36:48
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,151,2021-11-22 11:37:27,2021-11-22 11:34:56
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,123,2021-11-22 11:37:27,2021-11-22 11:35:24
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,207,2021-11-22 11:37:27,2021-11-22 11:34:00
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,11,2021-11-22 11:37:27,2021-11-22 11:37:16
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,28,2021-11-22 11:37:37,2021-11-22 11:37:09
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,278,2021-11-22 11:37:37,2021-11-22 11:32:59
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,140,2021-11-22 11:37:37,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,140,2021-11-22 11:37:37,2021-11-22 11:35:17
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,168,2021-11-22 11:37:37,2021-11-22 11:34:49
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,140,2021-11-22 11:37:37,2021-11-22 11:35:17
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,28,2021-11-22 11:37:37,2021-11-22 11:37:09
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,112,2021-11-22 11:37:37,2021-11-22 11:35:45
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,56,2021-11-22 11:37:37,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,168,2021-11-22 11:37:37,2021-11-22 11:34:49
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,140,2021-11-22 11:37:37,2021-11-22 11:35:17
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,224,2021-11-22 11:37:37,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,28,2021-11-22 11:37:37,2021-11-22 11:37:09
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,32,2021-11-22 11:37:47,2021-11-22 11:37:15
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,282,2021-11-22 11:37:47,2021-11-22 11:33:05
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,144,2021-11-22 11:37:47,2021-11-22 11:35:23
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,144,2021-11-22 11:37:47,2021-11-22 11:35:23
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,172,2021-11-22 11:37:47,2021-11-22 11:34:55
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,144,2021-11-22 11:37:47,2021-11-22 11:35:23
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,32,2021-11-22 11:37:47,2021-11-22 11:37:15
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,116,2021-11-22 11:37:47,2021-11-22 11:35:51
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,60,2021-11-22 11:37:47,2021-11-22 11:36:47
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,172,2021-11-22 11:37:47,2021-11-22 11:34:55
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,144,2021-11-22 11:37:47,2021-11-22 11:35:23
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,228,2021-11-22 11:37:47,2021-11-22 11:33:59
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,32,2021-11-22 11:37:47,2021-11-22 11:37:15
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,49,2021-11-22 11:37:57,2021-11-22 11:37:08
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,299,2021-11-22 11:37:57,2021-11-22 11:32:58
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,161,2021-11-22 11:37:57,2021-11-22 11:35:16
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,161,2021-11-22 11:37:57,2021-11-22 11:35:16
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,189,2021-11-22 11:37:57,2021-11-22 11:34:48
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,161,2021-11-22 11:37:57,2021-11-22 11:35:16
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,49,2021-11-22 11:37:57,2021-11-22 11:37:08
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,133,2021-11-22 11:37:57,2021-11-22 11:35:44
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,76,2021-11-22 11:37:57,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,189,2021-11-22 11:37:57,2021-11-22 11:34:48
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,161,2021-11-22 11:37:57,2021-11-22 11:35:16
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,244,2021-11-22 11:37:57,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,49,2021-11-22 11:37:57,2021-11-22 11:37:08
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,53,2021-11-22 11:38:08,2021-11-22 11:37:15
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,165,2021-11-22 11:38:08,2021-11-22 11:35:23
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,165,2021-11-22 11:38:08,2021-11-22 11:35:23
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,193,2021-11-22 11:38:08,2021-11-22 11:34:55
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,165,2021-11-22 11:38:08,2021-11-22 11:35:23
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,53,2021-11-22 11:38:08,2021-11-22 11:37:15
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,137,2021-11-22 11:38:08,2021-11-22 11:35:51
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,80,2021-11-22 11:38:08,2021-11-22 11:36:48
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,193,2021-11-22 11:38:08,2021-11-22 11:34:55
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,165,2021-11-22 11:38:08,2021-11-22 11:35:23
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,248,2021-11-22 11:38:08,2021-11-22 11:34:00
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,53,2021-11-22 11:38:08,2021-11-22 11:37:15
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,69,2021-11-22 11:38:18,2021-11-22 11:37:09
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,181,2021-11-22 11:38:18,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.261246,34.038429,16,2021-11-22 11:38:18,2021-11-22 11:38:02
8136,2,2_1113_1,225.0,True,-118.413528,34.080559,16,2021-11-22 11:38:18,2021-11-22 11:38:02
8163,2,2_1109_0,90.0,True,-118.326241,34.0979389,16,2021-11-22 11:38:18,2021-11-22 11:38:02
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,69,2021-11-22 11:38:18,2021-11-22 11:37:09
8439,2,2_1109_0,220.0,True,-118.246361,34.05468,16,2021-11-22 11:38:18,2021-11-22 11:38:02
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,97,2021-11-22 11:38:18,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,209,2021-11-22 11:38:18,2021-11-22 11:34:49
8509,2,2_1114_1,271.0,True,-118.35273,34.098103,16,2021-11-22 11:38:18,2021-11-22 11:38:02
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,265,2021-11-22 11:38:18,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,69,2021-11-22 11:38:18,2021-11-22 11:37:09
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,79,2021-11-22 11:38:28,2021-11-22 11:37:09
8133,2,2_1113_1,270.0,True,-118.287498,34.098213,0,2021-11-22 11:38:28,2021-11-22 11:38:28
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,191,2021-11-22 11:38:28,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.261246,34.038429,27,2021-11-22 11:38:28,2021-11-22 11:38:01
8136,2,2_1113_1,225.0,True,-118.413528,34.080559,27,2021-11-22 11:38:28,2021-11-22 11:38:01
8163,2,2_1109_0,90.0,True,-118.326241,34.0979389,27,2021-11-22 11:38:28,2021-11-22 11:38:01
8140,2,2_1111_0,90.0,True,-118.287697,34.098103,79,2021-11-22 11:38:28,2021-11-22 11:37:09
8439,2,2_1109_0,220.0,True,-118.246361,34.05468,27,2021-11-22 11:38:28,2021-11-22 11:38:01
4114,2,2_1109_0,90.0,True,-118.30336,34.098019,107,2021-11-22 11:38:28,2021-11-22 11:36:41
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,219,2021-11-22 11:38:28,2021-11-22 11:34:49
8509,2,2_1114_1,271.0,True,-118.35273,34.098103,27,2021-11-22 11:38:28,2021-11-22 11:38:01
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,275,2021-11-22 11:38:28,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.336143,34.098019,79,2021-11-22 11:38:28,2021-11-22 11:37:09
8443,2,2_1109_0,60.0,True,-118.446472,34.063618,92,2021-11-22 11:38:38,2021-11-22 11:37:06
